,Unnamed: 0,X,GrammyAward,GrammyYear,Genre,Name,Artist,Artists,number_artists
0,1,0,Record Of The Year,2018,General,this is america,Childish Gambino,Childish Gambino,1
1,2,1,Song Of The Year,2018,General,this is america,Childish Gambino,Childish Gambino,1
2,13,12,Best Rap/Sung Performance,2018,Rap,this is america,Childish Gambino,Childish Gambino,1
3,4,3,Best Pop Duo/Group Performance,2018,Pop,shallow,Lady Gaga & Bradley Cooper,"Lady Gaga, Bradley Cooper",2
4,23,22,Best Song Written For Visual Media,2018,Composing/Arranging,shallow,Lady Gaga & Bradley Cooper,"Lady Gaga, Bradley Cooper",2
5,5,4,Best Dance Recording,2018,Dance/Electronic Music,electricity,Silk City & Dua Lipa Featuring Diplo & Mark Ronson,"Silk City, Dua Lipa",2
6,9,8,Best R&B Performance,2018,R&B,best part,He.r. Featuring Daniel Caesar,Daniel Caesar,1
7,10,9,Best Traditional R&B Performance,2018,R&B,how deep is your love,Pj Morton Featuring Yebba,"Calvin Harris, Disciples",2
8,11,10,Best R&B Song,2018,R&B,boo'd up,Ella Mai,Ella Mai,1
9,14,13,Best Rap Song,2018,Rap,god's plan,Drake,Drake,1
10,15,14,Best Country Solo Performance,2018,Country,butterflies,Kacey Musgraves,Michael Jackson,1
11,16,15,Best Country Duo/Group Performance,2018,Country,tequila,Dan   Shay,Dan + Shay,1
12,20,19,Best Contemporary Christian Music Performance/Song,2018,Gospel/Contemporary Christian Music,you say,"Lauren Daigle; Lauren Daigle, Jason Ingram & Paul Mabury, Songwriterscory Asbury; Cory Asbury, Caleb Culver & Ran Jackson, Songwritersfor King & Country; Ben Glover, Matt Hales, Stephen Blake Kanicka, Seth Mosley, Joel Smallbone, Luke Smallbone & Tedd Tjornhom, Songwritersmercyme Featuring John Reuben; David Garcia, Ben Glover, Mercyme, Solomon Olds & John Reuben, Songwriterstauren Wells; Ethan Hulse, Jordan Sapp & Tauren Wells, Songwriters",Lauren Daigle,1
13,24,23,Record Of The Year,2017,General,24k magic,Bruno Mars,Bruno Mars,1
14,25,24,Song Of The Year,2017,General,that's what i like,Bruno Mars,Bruno Mars,1
15,32,31,Best R&B Performance,2017,R&B,that's what i like,Bruno Mars,Bruno Mars,1
16,34,33,Best R&B Song,2017,R&B,that's what i like,Bruno Mars,Bruno Mars,1
17,26,25,Best Pop Solo Performance,2017,Pop,shape of you,Ed Sheeran,Ed Sheeran,1
18,27,26,Best Pop Duo/Group Performance,2017,Pop,feel it still,Portugal the Man,Portugal. The Man,1
19,31,30,Best Rock Song,2017,Rock,run,"Dave Grohl, Taylor Hawkins, Rami Jaffee, Nate Mendel, Chris Shiflett & Pat Smear), Songwriters (Foo Fighters",George Strait,1
20,33,32,Best Traditional R&B Performance,2017,R&B,redbone,Childish Gambino,Childish Gambino,1
21,35,34,Best Rap Performance,2017,Rap,humble.,Kendrick Lamar,Kendrick Lamar,1
22,37,36,Best Rap Song,2017,Rap,humble.,Kendrick Lamar,Kendrick Lamar,1
23,36,35,Best Rap/Sung Performance,2017,Rap,loyalty.,Kendrick Lamar Featuring Rihanna,Kendrick Lamar,1
24,38,37,Best Country Solo Performance,2017,Country,either way,Chris Stapleton,Chris Stapleton,1
25,39,38,Best Country Duo/Group Performance,2017,Country,better man,Little Big Town,Little Big Town,1
26,40,39,Best Country Song,2017,Country,broken halos,Chris Stapleton,Chris Stapleton,1
27,46,45,Best Song Written For Visual Media,2017,Composing/Arranging,how far i'll go,Auli'i Cravalho,Alessia Cara,1
28,46,45,Best Song Written For Visual Media,2017,Composing/Arranging,how far i'll go,Auli'i Cravalho,Auli'i Cravalho,1
29,47,46,Record Of The Year,2016,General,hello,Adele,Adele,1
30,47,46,Record Of The Year,2016,General,hello,Adele,Karmin,1
31,47,46,Record Of The Year,2016,General,hello,Adele,"Martin Solveig, Dragonette",2
32,48,47,Song Of The Year,2016,General,hello,Adele,Adele,1
33,48,47,Song Of The Year,2016,General,hello,Adele,Karmin,1
34,48,47,Song Of The Year,2016,General,hello,Adele,"Martin Solveig, Dragonette",2
35,49,48,Best Pop Solo Performance,2016,Pop,hello,Adele,Adele,1
36,49,48,Best Pop Solo Performance,2016,Pop,hello,Adele,Karmin,1
