,Name,Artists,Genre,solo_genre,og_genre_count
1,'03 Bonnie & Clyde,Jay,"West Coast,R&;B,Rap",r&b,3
2,'03 Bonnie & Clyde,Jay,"West Coast,R&;B,Rap",rap,3
3,...Ready For It?,Taylor Swift,"Electronic,Electro-Pop,Pop",dance/electronic/house,3
4,...Ready For It?,Taylor Swift,"Electronic,Electro-Pop,Pop",pop,3
6,0 To 100 / The Catch Up,Drake,"Canada,Producer,Rap",rap,3
7,1,800,"Hip-Hop,Canada,DMV,Pop,Rap",hip hop,5
9,1,800,"Hip-Hop,Canada,DMV,Pop,Rap",pop,5
10,1,800,"Hip-Hop,Canada,DMV,Pop,Rap",rap,5
11,1 Thing,Amerie,"Pop,R&;B",pop,2
12,1 Thing,Amerie,"Pop,R&;B",r&b,2
13,"1, 2 Step",Ciara,"R&;B,Rap",r&b,2
14,"1, 2 Step",Ciara,"R&;B,Rap",rap,2
16,1.5,21 Savage,"Motown,Trap,Rap",rap,3
17,10 Bands,Drake,"Trap,Canada,Rap",rap,3
20,10 Freaky Girls,Metro Boomin,"Atlanta,Trap,Rap",rap,3
21,100,The Game,"Trap,Canada,West Coast,Rap",rap,4
23,100 Grandkids,Mac Miller,Rap,rap,1
24,100 Years,Five For Fighting,"Pop,Ballad,Piano,Rock",pop,4
26,100 Years,Five For Fighting,"Pop,Ballad,Piano,Rock",rock,4
27,11-Jul,Beyonce,"Pop,R&;B",pop,2
28,11-Jul,Beyonce,"Pop,R&;B",r&b,2
29,1234,Feist,"Baroque Pop,Folk,Indie Rock,Rock",pop,4
31,1234,Feist,"Baroque Pop,Folk,Indie Rock,Rock",rock,4
33,14-Mar,Drake,"Canada,R&;B,Rap",r&b,3
34,14-Mar,Drake,"Canada,R&;B,Rap",rap,3
35,1400 / 999 Freestyle,Trippie Redd,"Emo Rap,Trap,Rap",rap,3
36,143,Bobby Brackins,Rap,rap,1
37,15 Minutes,Marc Nelson,Pop,pop,1
38,17 Again,Brantley Gilbert,"Country,Rock",country,2
39,17 Again,Brantley Gilbert,"Country,Rock",rock,2
41,18,One Direction,"Boy Band,UK,Pop",pop,3
42,19 Somethin',Mark Wills,Country,country,1
43,1901,Phoenix,"Adult Alternative,Alternative Rock,Synth Rock,Electronic Rock,Indie Rock,Rock",alternative/indie,6
44,1901,Phoenix,"Adult Alternative,Alternative Rock,Synth Rock,Electronic Rock,Indie Rock,Rock",rock,6
45,1942,G,Rap,rap,1
46,1942 Flows,Meek Mill,Rap,rap,1
47,1973,James Blunt,Pop,pop,1
48,1985,Bowling For Soup,"Pop-Punk,Rock",pop,2
49,1985,Bowling For Soup,"Pop-Punk,Rock",rock,2
50,1994,Jason Aldean,"Rock,Country,Rap",rock,3
51,1994,Jason Aldean,"Rock,Country,Rap",country,3
52,1994,Jason Aldean,"Rock,Country,Rap",rap,3
53,1999,Prince,"Dance,Funk,Pop,Rock",dance/electronic/house,4
55,1999,Prince,"Dance,Funk,Pop,Rock",pop,4
56,1999,Prince,"Dance,Funk,Pop,Rock",rock,4
57,1st Time,Yung Joc,Rap,rap,1
58,2 On,Tinashe,"R&;B,Rap",r&b,2
59,2 On,Tinashe,"R&;B,Rap",rap,2
61,2 Phones,Kevin Gates,"Memes,Trap,Rap",rap,3
62,2 Reasons,Trey Songz,"R&;B,Rap",r&b,2
63,2 Reasons,Trey Songz,"R&;B,Rap",rap,2
64,2 Step,Unk,Rap,rap,1
65,2012,Jay Sean,"R&;B,Rap",r&b,2
66,2012,Jay Sean,"R&;B,Rap",rap,2
67,21 Guns,Green Day,"Alternative Rock,Rock",rock,2
68,21 Questions,50 Cent,Rap,rap,1
69,21st Century Girl,WILLOW,Pop,pop,1
70,22,Taylor Swift,"Pop Country,Pop-Rock,Dance-Pop,Country,Pop",country,5
71,22,Taylor Swift,"Pop Country,Pop-Rock,Dance-Pop,Country,Pop",pop,5
72,23,Mike WiLL Made,Rap,rap,1
73,24 Hours,TeeFLii,"R&;B,Rap",r&b,2
74,24 Hours,TeeFLii,"R&;B,Rap",rap,2
75,24's,T.I.,Rap,rap,1
76,24/7,Kevon Edmonds,Pop,pop,1
78,24/7,Meek Mill,"East Coast,UK,R&;B,Rap",r&b,4
79,24/7,Meek Mill,"East Coast,UK,R&;B,Rap",rap,4
80,24K Magic,Bruno Mars,"Funk-Pop,Funk,Pop",pop,3
82,25 To Life,Eminem,Rap,rap,1
83,2U,David Guetta,"Electro-Pop,Dance,Pop",pop,3
84,2U,David Guetta,"Electro-Pop,Dance,Pop",dance/electronic/house,3
85,3,Britney Spears,"Electronic,Dance,Electro-Pop,Pop",dance/electronic/house,4
86,3,Britney Spears,"Electronic,Dance,Electro-Pop,Pop",pop,4
87,3 Headed Snake,Gunna,"Trap,Rap",rap,2
88,3 Little Words,Nu Flavor,Pop,pop,1
89,3 Peat,Lil Wayne,Rap,rap,1
91,30 For 30 Freestyle,Drake,"Canada,Rap",rap,2
92,31 Days,Future,Rap,rap,1
94,365,"Zedd, Katy Perry","West Coast,Dance-Pop,Electro,Electro-Pop,Electronic,Dance,Pop",pop,7
95,365,"Zedd, Katy Perry","West Coast,Dance-Pop,Electro,Electro-Pop,Electronic,Dance,Pop",dance/electronic/house,7
97,4 Da Gang,Future,"Atlanta,Trap,Rap",rap,3
98,4 In The Morning,Gwen Stefani,"Alternative Rock,Rock,Alternative Pop,Pop",rock,4
99,4 In The Morning,Gwen Stefani,"Alternative Rock,Rock,Alternative Pop,Pop",pop,4
101,4 Minutes,Glee Cast,"TV,Dance-Pop,Dance,Cover,Screen,Soundtrack,Pop",pop,7
102,4 Minutes,Glee Cast,"TV,Dance-Pop,Dance,Cover,Screen,Soundtrack,Pop",dance/electronic/house,7
103,4 Minutes,Madonna,"Dance,Pop",dance/electronic/house,2
104,4 Minutes,Madonna,"Dance,Pop",pop,2
106,4 My Town,Birdman,"Canada,Rap",rap,2
108,4 Your Eyez Only,J. Cole,"Boom Bap,Rap",rap,2
109,"4, 5, 6",Sole,Rap,rap,1
111,44 More,Logic,"DMV,Trap,Rap",rap,3
113,4422,Drake,"UK,Alternative R&;B,Canada,R&;B",alternative/indie,4
114,4422,Drake,"UK,Alternative R&;B,Canada,R&;B",r&b,4
116,4:00 AM,2 Chainz,"Atlanta,Trap,Rap",rap,3
118,4:44,JAY,"Soul,Rap",rap,2
120,4th Dimension,KIDS SEE GHOSTS,"Experimental,Rap",rap,2
121,5 O'Clock,T,"R&;B,Rap",r&b,2
122,5 O'Clock,T,"R&;B,Rap",rap,2
124,5 Star,Yo Gotti,"Remix,Rap",rap,2
125,50 Ways To Say Goodbye,Train,"Pop-Rock,Pop,Rock",pop,3
126,50 Ways To Say Goodbye,Train,"Pop-Rock,Pop,Rock",rock,3
127,6 Foot 7 Foot,Lil Wayne,"Hip-Hop,Producer,Memes,Rap",hip hop,4
129,6 Foot 7 Foot,Lil Wayne,"Hip-Hop,Producer,Memes,Rap",rap,4
130,6 God,Drake,"Alternative R&;B,Producer,Trap,Canada,Rap",alternative/indie,5
132,6 God,Drake,"Alternative R&;B,Producer,Trap,Canada,Rap",rap,5
134,6 Inch,Beyonce,"Canada,R&;B,Pop",r&b,3
135,6 Inch,Beyonce,"Canada,R&;B,Pop",pop,3
136,6 Man,Drake,"Trap,Canada,Rap",rap,3
138,66,Lil Yachty,"Cloud Rap,Trap,Rap",rap,3
139,679,Fetty Wap,"R&;B,Trap,Rap",r&b,3
140,679,Fetty Wap,"R&;B,Trap,Rap",rap,3
142,7 Days,Craig David,"UK,R&;B,Pop",r&b,3
143,7 Days,Craig David,"UK,R&;B,Pop",pop,3
145,7 Rings,Ariana Grande,"Memes,Trap,R&;B,Pop",rap,4
146,7 Rings,Ariana Grande,"Memes,Trap,R&;B,Pop",r&b,4
147,7 Rings,Ariana Grande,"Memes,Trap,R&;B,Pop",pop,4
148,7 Things,Miley Cyrus,"Pop-Rock,Pop",pop,2
149,7 Years,Lukas Graham,"Pop-Rock,Adult Alternative,Adult Contemporary,Piano,Memes,Scandinavia,Danmark,Pop",pop,8
150,7 Years,Lukas Graham,"Pop-Rock,Adult Alternative,Adult Contemporary,Piano,Memes,Scandinavia,Danmark,Pop",alternative/indie,8
152,8,Billie Eilish,"Alternative,YouTube,Singer-Songwriter,Alternative Pop,Pop",alternative/indie,5
154,8,Billie Eilish,"Alternative,YouTube,Singer-Songwriter,Alternative Pop,Pop",pop,5
156,8 Out Of 10,Drake,"Canada,Rap",rap,2
157,808,Blaque,Rap,rap,1
158,80s Mercedes,Maren Morris,Country,country,1
159,8th Of November,"Big, Rich",Country,country,1
160,8th World Wonder,Kimberley Locke,Pop,pop,1
162,9,Drake,"Canada,Rap",rap,2
164,911,Wyclef Jean,"Haiti,R&;B,Soul,Soul Pop,Pop,Rap",r&b,6
165,911,Wyclef Jean,"Haiti,R&;B,Soul,Soul Pop,Pop,Rap",pop,6
166,911,Wyclef Jean,"Haiti,R&;B,Soul,Soul Pop,Pop,Rap",rap,6
167,92 Explorer,Post Malone,Pop,pop,1
168,99 Problems,JAY,"Rap Rock,Rock,East Coast,Hip-Hop,Rap",rock,5
170,99 Problems,JAY,"Rap Rock,Rock,East Coast,Hip-Hop,Rap",hip hop,5
171,99 Problems,JAY,"Rap Rock,Rock,East Coast,Hip-Hop,Rap",rap,5
172,A Bay Bay,Hurricane Chris,Rap,rap,1
173,A Boy Is A Gun,"Tyler, The Creator","Rap,Neo Soul,Alternative R&;B,Experimental,Alternative,West Coast,Alternative Pop,R&;B",rap,8
175,A Boy Is A Gun,"Tyler, The Creator","Rap,Neo Soul,Alternative R&;B,Experimental,Alternative,West Coast,Alternative Pop,R&;B",alternative/indie,8
176,A Boy Is A Gun,"Tyler, The Creator","Rap,Neo Soul,Alternative R&;B,Experimental,Alternative,West Coast,Alternative Pop,R&;B",pop,8
177,A Boy Is A Gun,"Tyler, The Creator","Rap,Neo Soul,Alternative R&;B,Experimental,Alternative,West Coast,Alternative Pop,R&;B",r&b,8
178,A Different World,Bucky Covington,Pop,pop,1
179,A Feelin' Like That,Gary Allan,Pop,pop,1
180,A Few Questions,Clay Walker,Pop,pop,1
181,A Girl Like You,Easton Corbin,Country,country,1
182,A Good Day To Run,Darryl Worley,Pop,pop,1
183,A Great Big Sled,The Killers,Rock,rock,1
184,A Guy Walks Into A Bar,Tyler Farr,Country,country,1
185,A Guy With A Girl,Blake Shelton,Country,country,1
186,A Holly Jolly Christmas,Burl Ives,Pop,pop,1
188,A House Is Not A Home,Glee Cast,"TV,Soundtrack,Screen,Cover,Mashup,Pop",pop,6
190,A La Primera Persona,Alejandro Sanz,"En Espa\xc3\xb1ol,Rock",rock,2
191,A Lie,French Montana,Rap,rap,1
192,A Light That Never Comes,"Linkin Park, Steve Aoki","Rock,Electronic Rock,Pop,Electro House,Electro,Dance,Electronic",rock,7
