,Name,Artists,Peak.position
0,'03 Bonnie & Clyde,Jay,4.0
1,...Ready For It?,Taylor Swift,4.0
2,0 To 100 / The Catch Up,Drake,35.0
3,1,800,3.0
4,1 Thing,Amerie,8.0
5,"1, 2 Step",Ciara,2.0
6,10 Bands,Drake,58.0
7,10 Freaky Girls,Metro Boomin,42.0
8,100,The Game,82.0
9,100 Years,Five For Fighting,28.0
10,11-Jul,Beyonce,13.0
11,1234,Feist,8.0
12,1400 / 999 Freestyle,Trippie Redd,55.0
13,143,Bobby Brackins,76.0
14,15 Minutes,Marc Nelson,27.0
15,19 Somethin',Mark Wills,23.0
16,1901,Phoenix,84.0
17,1942,G,70.0
18,1973,James Blunt,73.0
19,1985,Bowling For Soup,23.0
20,1994,Jason Aldean,52.0
21,1999,Prince,12.0
22,1st Time,Yung Joc,82.0
23,2 On,Tinashe,24.0
24,2 Phones,Kevin Gates,17.0
25,2 Reasons,Trey Songz,43.0
26,2 Step,Unk,24.0
27,2012,Jay Sean,31.0
28,21 Guns,Green Day,22.0
29,21 Questions,50 Cent,1.0
30,22,Taylor Swift,20.0
31,23,Mike WiLL Made,11.0
32,24 Hours,TeeFLii,85.0
33,24's,T.I.,78.0
34,24/7,Kevon Edmonds,10.0
35,24/7,Meek Mill,54.0
36,24K Magic,Bruno Mars,4.0
37,2U,David Guetta,16.0
38,3,Britney Spears,1.0
39,3 Little Words,Nu Flavor,89.0
40,30 For 30 Freestyle,Drake,88.0
41,31 Days,Future,65.0
42,4 In The Morning,Gwen Stefani,54.0
43,4 Minutes,Madonna,3.0
44,4 My Town,Birdman,90.0
45,"4, 5, 6",Sole,21.0
46,44 More,Logic,22.0
47,4422,Drake,50.0
48,4:00 AM,2 Chainz,55.0
49,4:44,JAY,35.0
50,5 O'Clock,T,10.0
51,5 Star,Yo Gotti,79.0
52,50 Ways To Say Goodbye,Train,20.0
53,6 Foot 7 Foot,Lil Wayne,9.0
54,6 Inch,Beyonce,18.0
55,679,Fetty Wap,4.0
56,7 Days,Craig David,10.0
57,7 Rings,Ariana Grande,1.0
58,7 Things,Miley Cyrus,9.0
59,7 Years,Lukas Graham,2.0
60,8 Out Of 10,Drake,21.0
61,808,Blaque,8.0
62,80s Mercedes,Maren Morris,74.0
63,8th Of November,"Big, Rich",94.0
64,8th World Wonder,Kimberley Locke,49.0
65,9,Drake,45.0
66,911,Wyclef Jean,38.0
67,92 Explorer,Post Malone,40.0
68,99 Problems,JAY,30.0
69,A Bay Bay,Hurricane Chris,7.0
70,A Different World,Bucky Covington,58.0
71,A Few Questions,Clay Walker,55.0
72,A Good Day To Run,Darryl Worley,76.0
73,A Great Big Sled,The Killers,54.0
74,A Guy Walks Into A Bar,Tyler Farr,51.0
75,A Guy With A Girl,Blake Shelton,42.0
76,A Holly Jolly Christmas,Burl Ives,10.0
77,A Little Bit Stronger,Sara Evans,34.0
78,A Little Gasoline,Terri Clark,75.0
79,A Little More Country Than That,Easton Corbin,42.0
80,A Little More Summertime,Jason Aldean,52.0
81,A Little Party Never Killed Nobody,"Fergie, Q",77.0
82,A Little Too Late,Toby Keith,53.0
83,A Long Walk,Jill Scott,43.0
84,A Lot,21 Savage,12.0
85,A Lot Of Things Different,Kenny Chesney,55.0
86,A Man Ain't Made Of Stone,Randy Travis,82.0
87,A Milli,Lil Wayne,6.0
88,A Moment Like This,Kelly Clarkson,1.0
89,A New Day Has Come,Celine Dion,22.0
90,A Night To Remember,Joe Diffie,38.0
91,A Public Affair,Jessica Simpson,14.0
92,A Real Fine Place To Start,Sara Evans,38.0
93,A Rose By Any Other Name,Teena Marie,97.0
94,A Sky Full Of Stars,Coldplay,10.0
95,A Thousand Miles,Vanessa Carlton,5.0
96,A Thousand Years,Christina Perri,31.0
97,A Woman Like You,Lee Brice,33.0
98,A Woman's Love,Alan Jackson,73.0
99,A Woman's Worth,Alicia Keys,7.0
100,A Year Without Rain,"Selena Gomez, The Scene",35.0
101,A.D.I.D.A.S.,Killer Mike,60.0
102,AM To PM,Christina Milian,27.0
103,ASAP,T.I.,75.0
104,ATM,J. Cole,6.0
105,About The Money,T.I.,42.0
106,About Us,Brooke Hogan,33.0
107,About You,Trey Songz,83.0
108,About You Now,Miranda Cosgrove,47.0
109,Absolutely,Nine Days,6.0
110,Acapella,Karmin,72.0
111,Accidentally In Love,Counting Crows,39.0
112,According To You,Orianthi,17.0
113,Acquainted,The Weeknd,60.0
114,Act A Fool,Ludacris,32.0
115,Act Up,City Girls,26.0
116,Addicted,Saving Abel,20.0
117,Addicted,Simple Plan,45.0
118,Addictive,Truth Hurts,9.0
119,Adore You,Miley Cyrus,21.0
120,Adorn,Miguel,17.0
121,Adventure Of A Lifetime,Coldplay,13.0
122,Aerials,System Of A Down,55.0
123,Africa,Weezer,51.0
124,After Dark,Drake,41.0
125,After Party,Koffee Brown,44.0
126,Again,Faith Evans,47.0
127,Again,Fetty Wap,33.0
128,Again,Lenny Kravitz,4.0
129,Again And Again,Jewel,80.0
130,Ai Se Eu Te Pego,Michel Telo,81.0
131,Ain't Back Yet,Kenny Chesney,50.0
132,Ain't I,Yung L.A.,47.0
133,Ain't It Fun,Paramore,10.0
134,Ain't It Funny,Jennifer Lopez,1.0
135,Ain't Leavin Without You,Jaheim,93.0
136,Ain't My Fault,Zara Larsson,76.0
137,Ain't No Other Man,Christina Aguilera,6.0
138,Ain't No Rest For The Wicked,Cage The Elephant,83.0
139,Ain't Nothing 'Bout You,"Brooks, Dunn",25.0
140,Ain't Worried About Nothin,French Montana,63.0
141,Ain't Worth The Whiskey,Cole Swindell,43.0
142,Ain't Your Mama,Jennifer Lopez,76.0
143,Air Force Ones,Nelly,3.0
144,Airplanes,B.o.B,2.0
145,Alcohol,Brad Paisley,28.0
146,Alejandro,Lady Gaga,5.0
147,Alice,Avril Lavigne,71.0
148,Alive,Krewella,32.0
149,Alive,P.O.D.,41.0
150,Alive,Sia,56.0
151,All,American Girl,27.0
152,All About It,Hoodie Allen,71.0
153,All About That Bass,Meghan Trainor,1.0
154,All About Tonight,Blake Shelton,37.0
155,All Around Me,Flyleaf,40.0
156,All Around The World,Justin Bieber,22.0
157,All Because Of You,Marques Houston,69.0
158,All Day,Kanye West,15.0
159,All Eyes On You,Meek Mill,21.0
160,All Eyez,The Game,79.0
161,All Eyez On Me,Monica,69.0
162,All Falls Down,Kanye West,7.0
163,All For You,Janet,1.0
164,All Girls Are The Same,Juice WRLD,41.0
165,All Gold Everything,Trinidad James,36.0
166,All Good Things,Nelly Furtado,86.0
167,All Good?,De La Soul,96.0
168,All I Ask For Anymore,Trace Adkins,95.0
169,All I Do Is Win,DJ Khaled,24.0
170,All I Ever Wanted,Chuck Wicks,86.0
171,All I Ever Wanted,Kelly Clarkson,96.0
172,All I Have,Jennifer Lopez,1.0
173,All I Know,The Weeknd,46.0
174,All I Need,Fat Joe,86.0
175,All I Want For Christmas Is You,Mariah Carey,3.0
176,All I Want Is You,Miguel,58.0
177,All I Want To Do,Sugarland,18.0
178,All In My Head,Fifth Harmony,24.0
179,All Jacked Up,Gretchen Wilson,42.0
180,All Kinds Of Kinds,Miranda Lambert,89.0
181,All Me,Drake,20.0
182,All Mine,Kanye West,11.0
183,All My Friends,21 Savage,67.0
184,All My Friends Say,Luke Bryan,59.0
185,All My Life,Foo Fighters,43.0
186,All Night,Beyonce,38.0
187,All Of Me,John Legend,1.0
188,All Of The Lights,Kanye West,18.0
189,All On Me,Devin Dawson,52.0
190,All Or Nothing,O,3.0
191,All Over Me,Josh Turner,59.0
192,All Over The Road,Easton Corbin,51.0
193,All Star,Smash Mouth,4.0
194,All Summer Long,Kid Rock,23.0
195,All Summer Long,The Rock Heroes,29.0
196,All That I Can Say,Mary J. Blige,44.0
197,All That Matters,Justin Bieber,24.0
198,All The Above,Maino,39.0
199,All The Good Girls Go To Hell,Billie Eilish,46.0
200,All The Pretty Girls,Kenny Chesney,63.0
201,All The Right Moves,OneRepublic,18.0
202,All The Small Things,Blink,6.0
203,All The Stars,"Kendrick Lamar, SZA",7.0
204,All The Things She Said,t.A.T.u.,20.0
205,All The Way Turnt Up,Roscoe Dash,46.0
206,All The Way Up,"Fat Joe, Remy Ma, Jay Z",27.0
207,All These Things That I've Done,The Killers,74.0
208,All Things Considered,Yankee Grey,55.0
209,All Time Low,Jon Bellion,16.0
210,All To Myself,Dan + Shay,66.0
211,All We Know,The Chainsmokers,18.0
212,All You Wanted,Michelle Branch,6.0
213,All Your Life,The Band Perry,37.0
214,Almost,Bowling For Soup,46.0
215,Almost Doesn't Count,Brandy,16.0
216,Almost Home,Craig Morgan,59.0
217,Almost Home,Mary Chapin Carpenter,85.0
218,Almost Is Never Enough,"Ariana Grande, Nathan Sykes",82.0
219,Alone,Halsey,66.0
220,Alone,Lasgo,83.0
221,Alone,Marshmello,28.0
222,Alone Together,Fall Out Boy,71.0
223,Alone With You,Jake Owen,41.0
224,Already Callin' You Mine,Parmalee,91.0
225,Already Gone,Kelly Clarkson,13.0
226,Already Gone,Sugarland,41.0
227,Alright,Darius Rucker,30.0
228,Alright,Kendrick Lamar,81.0
229,Always,Saliva,51.0
230,Always On Time,Ja Rule,1.0
231,Always On Your Side,"Sheryl Crow, Sting",33.0
232,Always Remember Us This Way,Lady Gaga,41.0
233,Always Strapped,Birdman,54.0
234,Always The Love Songs,Eli Young Band,69.0
235,Alyssa Lies,Jason Michael Carroll,64.0
236,Am I The Only One,Dierks Bentley,39.0
237,Am I Wrong,"Nico, Vinz",4.0
238,Amarillo Sky,Jason Aldean,59.0
239,Amazed,Lonestar,1.0
240,Amazing,Josh Kelley,79.0
241,Amazing,Kanye West,81.0
242,Amen,Edens Edge,83.0
243,Amen,Meek Mill,57.0
244,American Baby,Dave Matthews Band,16.0
245,American Boy,Estelle,9.0
246,American Child,Phil Vassar,48.0
247,American Country Love Song,Jake Owen,55.0
248,American Girl,Bonnie McKee,87.0
249,American Honey,Lady Antebellum,25.0
250,American Idiot,Green Day,61.0
251,American Kids,Kenny Chesney,23.0
252,American Life,Madonna,37.0
253,American Oxygen,Rihanna,78.0
254,American Pie,Madonna,29.0
255,American Ride,Toby Keith,35.0
256,American Saturday Night,Brad Paisley,67.0
257,American Soldier,Toby Keith,28.0
258,American Woman,Lenny Kravitz,49.0
259,Amnesia,5 Seconds Of Summer,16.0
260,Anaconda,Nicki Minaj,2.0
261,And I Am Telling You I'm Not Going,Jennifer Hudson,60.0
262,And Then What,Young Jeezy,67.0
