,Name,Artists,Year,Debut.rank,Peak.position,Weeks.to.peak,Weeks.at.peak,Lowest.rank,Weeks.to.low,Ending.rank,Total.weeks.on
0,'03 Bonnie & Clyde,Jay,2002,56,4.0,10.0,3,56,1.0,46,23.0
1,...Ready For It?,Taylor Swift,2017,4,4.0,1.0,1,96,19.0,96,19.0
2,0 To 100 / The Catch Up,Drake,2014,63,35.0,7.0,4,64,20.0,64,20.0
3,1,800,2017,61,3.0,20.0,4,68,7.0,45,41.0
4,1 Thing,Amerie,2005,100,8.0,11.0,1,100,1.0,64,20.0
5,"1, 2 Step",Ciara,2004,74,2.0,11.0,7,74,1.0,50,39.0
6,10 Bands,Drake,2015,88,58.0,2.0,1,100,13.0,100,13.0
7,10 Freaky Girls,Metro Boomin,2018,42,42.0,1.0,1,70,4.0,70,4.0
8,100,The Game,2015,90,82.0,8.0,1,100,10.0,100,10.0
9,100 Years,Five For Fighting,2004,70,28.0,15.0,1,70,1.0,49,22.0
10,11-Jul,Beyonce,2014,18,13.0,2.0,1,51,20.0,51,20.0
11,1234,Feist,2007,61,8.0,3.0,1,96,11.0,85,15.0
12,1400 / 999 Freestyle,Trippie Redd,2018,55,55.0,1.0,1,72,3.0,72,3.0
13,143,Bobby Brackins,2010,91,76.0,9.0,1,99,2.0,93,11.0
14,15 Minutes,Marc Nelson,1999,91,27.0,12.0,1,91,1.0,78,16.0
15,19 Somethin',Mark Wills,2002,69,23.0,9.0,4,69,1.0,46,20.0
16,1901,Phoenix,2009,90,84.0,6.0,1,99,12.0,99,13.0
17,1942,G,2018,90,70.0,4.0,1,96,8.0,96,8.0
18,1973,James Blunt,2007,73,73.0,1.0,1,100,3.0,100,3.0
19,1985,Bowling For Soup,2004,72,23.0,10.0,1,75,20.0,75,20.0
20,1994,Jason Aldean,2013,93,52.0,6.0,1,94,11.0,94,11.0
21,1st Time,Yung Joc,2007,93,82.0,4.0,1,97,2.0,96,6.0
22,2 On,Tinashe,2014,89,24.0,12.0,1,89,1.0,43,24.0
23,2 Phones,Kevin Gates,2016,93,17.0,14.0,1,93,1.0,45,25.0
24,2 Reasons,Trey Songz,2012,97,43.0,9.0,1,97,1.0,62,20.0
25,2 Step,Unk,2007,94,24.0,18.0,1,94,1.0,41,21.0
26,2012,Jay Sean,2010,50,31.0,10.0,1,88,14.0,88,14.0
27,21 Guns,Green Day,2009,55,22.0,13.0,1,60,20.0,60,20.0
28,21 Questions,50 Cent,2003,74,1.0,11.0,4,74,1.0,49,23.0
29,22,Taylor Swift,2012,44,20.0,9.0,1,84,2.0,65,20.0
30,23,Mike WiLL Made,2013,70,11.0,2.0,1,70,1.0,50,23.0
31,24 Hours,TeeFLii,2014,97,85.0,5.0,1,97,1.0,96,7.0
32,24's,T.I.,2003,99,78.0,11.0,2,99,1.0,91,15.0
33,24/7,Kevon Edmonds,1999,83,10.0,7.0,2,87,20.0,87,20.0
34,24/7,Meek Mill,2018,54,54.0,1.0,1,97,3.0,69,12.0
35,24K Magic,Bruno Mars,2016,5,4.0,7.0,4,50,41.0,50,41.0
36,2U,David Guetta,2017,16,16.0,1.0,1,73,11.0,73,11.0
37,3,Britney Spears,2009,1,1.0,1.0,1,72,20.0,72,20.0
38,3 Little Words,Nu Flavor,2000,97,89.0,3.0,2,99,7.0,98,9.0
39,30 For 30 Freestyle,Drake,2015,88,88.0,1.0,1,92,2.0,92,2.0
40,31 Days,Future,2018,65,65.0,1.0,1,99,2.0,99,2.0
41,4 In The Morning,Gwen Stefani,2007,76,54.0,9.0,1,96,16.0,96,16.0
42,4 Minutes,Madonna,2008,68,3.0,2.0,2,69,20.0,69,20.0
43,4 My Town,Birdman,2009,90,90.0,1.0,1,98,3.0,98,3.0
44,"4, 5, 6",Sole,1999,84,21.0,8.0,1,95,15.0,94,16.0
45,44 More,Logic,2018,22,22.0,1.0,1,85,5.0,85,5.0
46,4422,Drake,2017,50,50.0,1.0,1,82,2.0,82,2.0
47,4:00 AM,2 Chainz,2017,73,55.0,3.0,1,95,12.0,95,12.0
48,4:44,JAY,2017,35,35.0,1.0,1,61,2.0,61,2.0
49,5 O'Clock,T,2011,62,10.0,11.0,2,83,20.0,83,20.0
50,5 Star,Yo Gotti,2009,79,79.0,1.0,1,84,2.0,84,2.0
51,50 Ways To Say Goodbye,Train,2012,98,20.0,15.0,1,98,1.0,44,20.0
52,6 Foot 7 Foot,Lil Wayne,2010,9,9.0,1.0,1,44,21.0,44,21.0
53,6 Inch,Beyonce,2016,18,18.0,1.0,1,82,3.0,82,3.0
54,679,Fetty Wap,2015,34,4.0,16.0,1,40,38.0,40,40.0
55,7 Days,Craig David,2001,61,10.0,13.0,1,61,1.0,54,20.0
56,7 Rings,Ariana Grande,2019,1,1.0,1.0,8,23,23.0,23,23.0
57,7 Things,Miley Cyrus,2008,84,9.0,6.0,1,94,15.0,94,15.0
58,7 Years,Lukas Graham,2016,96,2.0,10.0,4,96,1.0,46,36.0
59,8 Out Of 10,Drake,2018,21,21.0,1.0,1,98,3.0,98,3.0
60,80s Mercedes,Maren Morris,2016,95,74.0,8.0,1,100,6.0,91,13.0
61,8th Of November,"Big, Rich",2006,95,94.0,2.0,1,95,1.0,94,2.0
62,8th World Wonder,Kimberley Locke,2004,78,49.0,8.0,1,99,20.0,99,20.0
63,9,Drake,2016,45,45.0,1.0,1,87,5.0,87,5.0
64,911,Wyclef Jean,2000,77,38.0,8.0,2,96,19.0,96,19.0
65,92 Explorer,Post Malone,2018,40,40.0,1.0,1,98,3.0,98,3.0
66,99 Problems,JAY,2004,94,30.0,8.0,1,94,1.0,87,12.0
67,A Bay Bay,Hurricane Chris,2007,95,7.0,6.0,1,95,1.0,64,20.0
68,A Different World,Bucky Covington,2007,63,58.0,16.0,1,99,20.0,99,20.0
69,A Few Questions,Clay Walker,2003,78,55.0,9.0,2,99,13.0,99,13.0
70,A Good Day To Run,Darryl Worley,2001,76,76.0,1.0,1,99,9.0,99,9.0
71,A Great Big Sled,The Killers,2006,54,54.0,1.0,1,88,2.0,88,2.0
72,A Guy Walks Into A Bar,Tyler Farr,2015,97,51.0,19.0,1,99,3.0,52,20.0
73,A Guy With A Girl,Blake Shelton,2016,97,42.0,11.0,1,100,17.0,100,17.0
74,A Holly Jolly Christmas,Burl Ives,2017,46,10.0,9.0,1,47,2.0,10,9.0
75,A Little Bit Stronger,Sara Evans,2011,98,34.0,19.0,1,98,1.0,49,21.0
76,A Little Gasoline,Terri Clark,2000,75,75.0,1.0,1,99,5.0,99,6.0
77,A Little More Country Than That,Easton Corbin,2010,100,42.0,11.0,1,100,1.0,94,20.0
78,A Little More Summertime,Jason Aldean,2016,90,52.0,10.0,1,90,1.0,87,13.0
79,A Little Party Never Killed Nobody,"Fergie, Q",2013,77,77.0,1.0,1,93,2.0,93,2.0
80,A Little Too Late,Toby Keith,2006,93,53.0,11.0,1,93,1.0,93,15.0
